shifted,median,in_week
0.003090277,31,0.294756944
0.05349537,31,0.345162037
0.061724537,31,0.353391204
0.065219907,31,0.356886574
0.068090277,31,0.359756944
0.068113426,31,0.359780093
0.071226852,31,0.362893519
0.072523148,31,0.364189815
0.074363426,31,0.366030093
0.075983796,31,0.367650463
0.088854166,30.5,0.380520833
0.091643518,30.5,0.383310185
0.094479166,30.5,0.386145833
0.102824074,30,0.394490741
0.116319444,30,0.407986111
0.116828703,30,0.40849537
0.117025463,30,0.40869213
0.123159722,30,0.414826389
0.123472222,30,0.415138889
0.125567129,30,0.417233796
0.125625,30,0.417291667
0.129097222,30,0.420763889
0.129849537,30,0.421516204
0.132604166,30,0.424270833
0.132916666,30,0.424583333
0.133229166,30,0.424895833
0.133599537,30,0.425266204
0.135289352,30,0.426956019
0.136018518,30,0.427685185
0.138877314,30,0.430543981
0.13943287,30,0.431099537
0.140254629,30,0.431921296
0.141157407,30,0.432824074
0.14162037,30,0.433287037
0.142696759,30,0.434363426
0.145729166,30,0.437395833
0.146192129,30,0.437858796
0.146400463,30,0.43806713
0.147048611,29.5,0.438715278
0.148796296,29.5,0.440462963
0.151759259,29.5,0.443425926
0.152280092,29.5,0.443946759
0.153842592,29.5,0.445509259
0.154594907,29.5,0.446261574
0.156168981,29.5,0.447835648
0.157986111,29.5,0.449652778
0.158981481,29.5,0.450648148
0.159699074,29.5,0.451365741
0.160868055,29,0.452534722
0.161574074,29,0.453240741
0.164189814,29,0.455856481
0.165034722,29,0.456701389
0.166747685,29,0.458414352
0.170324074,29,0.461990741
0.171342592,29,0.463009259
0.172222222,29,0.463888889
0.173159722,29,0.464826389
0.18699074,29,0.478657407
0.18824074,29,0.479907407
0.2140625,29,0.505729167
0.21980324,29,0.511469907
0.220474537,29,0.512141204
0.220856481,29,0.512523148
0.223310185,29,0.514976852
0.264236111,29,0.555902778
0.265046296,28.5,0.556712963
0.270810185,28,0.562476852
0.330879629,28,0.622546296
0.331076389,28,0.622743056
0.331087963,28,0.62275463
0.358275463,28,0.64994213
0.358310185,28,0.649976852
0.358344907,28,0.650011574
0.358391203,28,0.65005787
0.510347222,28,0.802013889
0.510763889,28,0.802430556
0.525567129,28,0.817233796
0.57980324,28,0.871469907
0.580671296,28,0.872337963
0.584814814,28,0.876481481
0.603009259,28,0.894675926
0.604976852,28,0.896643519
0.630358796,28,0.922025463
0.6609375,28,0.952604167
0.67099537,28,0.962662037
0.683125,28,0.974791667
0.685486111,28,0.977152778
0.690844907,28,0.982511574
0.697372685,28,0.989039352
0.698692129,28,0.990358796
0.714085648,28,1.005752315
0.732013889,28,1.023680556
0.733692129,27.5,1.025358796
0.7446875,27,1.036354167
0.74849537,26.5,1.040162037
0.754629629,26,1.046296296
0.767997685,25.5,1.059664352
0.771458333,25.5,1.063125
0.802777777,25.5,1.094444444
