remaining,median
0.046226852,32.50
0.098101852,32.50
0.115856481,32.50
0.118344907,32.50
0.118969907,32.50
0.121365741,32.50
0.126898148,32.50
0.131296296,32.50
0.136597222,32.50
0.137268519,32.50
0.138900463,32.50
0.140891204,32.50
0.145243056,32.50
0.146793981,32.50
0.14962963,32.50
0.151134259,32.50
0.152060185,32.50
0.152314815,32.50
0.152696759,32.50
0.153263889,32.50
0.154710648,32.50
0.156712963,32.50
0.158738426,32.50
0.160972222,32.00
0.16537037,32.00
0.177349537,32.00
0.180185185,31.50
0.188136574,31.50
0.188449074,31.50
0.18943287,31.50
0.193726852,31.50
0.195092593,31.50
0.198055556,31.50
0.198634259,31.50
0.198796296,31.50
0.199548611,31.50
0.200833333,31.50
0.206481481,31.50
0.211458333,31.50
0.214513889,31.50
0.2184375,31.50
0.223020833,31.50
0.223819444,31.50
0.228541667,31.50
0.236111111,31.50
0.24349537,31.50
0.493553241,31.00
0.530555556,31.00
0.537314815,31.00
0.547835648,31.00
0.553564815,31.00
0.595648148,31.00
0.603599537,31.00
0.6196875,31.00
0.635462963,31.00
0.656597222,31.00
0.661921296,31.00
0.685960648,31.00
0.692210648,31.00
0.714895833,30.50
0.721423611,30.50
0.75787037,30.50
0.758217593,30.00
0.7646875,30.00
0.785949074,30.00
0.788993056,30.00
0.793553241,30.00
0.794259259,29.50
0.800902778,29.50
0.806655093,29.00
0.814178241,29.00
0.81806713,29.00
0.847928241,29.00
0.848125,29.00
0.890127315,29.00
0.908275463,29.00
0.922881944,29.00
0.9253125,29.00
0.935150463,29.00
0.944953704,29.00
0.956585648,29.00
0.991412037,29.00
0.998414352,29.00
1.000960648,29.00
1.008784722,29.00
1.01162037,29.00
1.023344907,29.00
1.041377315,29.00
1.063263889,29.00
1.073576389,29.00
1.082453704,29.00
1.08275463,29.00
1.083703704,29.00
1.08587963,29.00
1.092731481,29.00
1.09380787,29.00
1.095856481,29.00
1.099421296,29.00
1.104178241,28.50
1.115740741,28.50
1.120023148,28.50
1.123831019,28.50
1.125462963,28.50
1.132824074,28.00
1.135289352,28.00
1.139398148,28.00
1.141342593,28.00
1.145659722,28.00
1.155833333,28.00
1.156956019,28.00
1.159386574,28.00
1.161388889,28.00
1.162094907,28.00
1.163333333,28.00
1.163738426,27.50
1.164085648,27.50
1.167314815,27.50
1.168055556,27.50
1.174641204,27.50
1.192268519,27.50
1.196712963,27.50
1.199305556,27.50
1.205,27.50
1.205833333,27.50
1.214131944,27.50
1.217835648,27.50
1.219259259,27.50
1.21994213,27.50
1.221238426,27.50
1.221805556,27.50
1.222928241,27.00
1.224976852,27.00
1.22505787,27.00
1.258217593,27.00
1.264293981,27.00
1.506377315,27.00
1.507013889,26.50
1.5203125,26.00
1.54369213,25.50
1.5534375,25.50
1.570393519,25.50
1.570601852,25.50
1.581053241,25.50
1.591863426,25.50
1.596354167,25.50
1.600289352,25.50
1.606898148,25.50
1.610914352,25.50
1.627847222,25.50
1.639814815,25.50
1.659791667,25.50
1.669039352,25.50
1.67369213,25.00
1.705833333,25.00
1.712314815,25.00
1.714756944,25.00
1.718055556,25.00
1.7196875,25.00
1.720914352,25.00
1.721388889,25.00
1.723263889,25.00
1.750578704,25.00
1.758090278,25.00
1.77412037,25.00
1.776215278,24.50
1.778425926,24.00
1.784606481,24.00
1.791238426,24.00
1.793726852,24.00
