shifted,median,in_week
0.004351833,32.5,0.2960185
0.006898133,32.5,0.2985648
0.007372733,32.5,0.2990394
0.017650433,32.5,0.3093171
0.035011533,32.5,0.3266782
0.037685233,32,0.3293519
0.040405133,32,0.3320718
0.044016233,32,0.3356829
0.052060233,32,0.3437269
0.064178233,31.5,0.3558449
0.085625033,31.5,0.3772917
0.086481433,31.5,0.3781481
0.106875033,31,0.3985417
0.107060233,30.5,0.3987269
0.133437533,30,0.4251042
0.133831033,30,0.4254977
0.222696733,30,0.5143634
0.486493033,30,0.7781597
0.492476833,29.5,0.7841435
0.500474533,29.5,0.7921412
0.502013933,29.5,0.7936806
0.505266233,29,0.7969329
0.506550933,29,0.7982176
0.508472233,29,0.8001389
0.514814833,29,0.8064815
0.521064833,29,0.8127315
0.554548633,29,0.8462153
0.561562533,28.5,0.8532292
0.588680533,28.5,0.8803472
0.589120333,28.5,0.880787
0.592986133,28.5,0.8846528
0.594791633,28.5,0.8864583
0.616828733,28.5,0.9084954
0.643912033,28.5,0.9355787
0.650798633,28.5,0.9424653
0.651041633,28.5,0.9427083
0.651284733,28.5,0.9429514
0.651550933,28.5,0.9432176
0.652129633,28.5,0.9437963
0.652372733,28.5,0.9440394
0.678055533,28,0.9697222
0.684722233,28,0.9763889
0.703032433,27.5,0.9946991
0.713831033,27.5,1.0054977
0.750891233,27.5,1.0425579
0.779988433,27.5,1.0716551
0.789479133,27.5,1.0811458
0.796863433,27,1.0885301
0.813067133,26.5,1.1047338
0.832997733,26,1.1246644
0.847997733,25.5,1.1396644
0.856782433,25.5,1.1484491
0.856944433,25.5,1.1486111
0.857893533,25.5,1.1495602
0.871921333,25.5,1.163588
0.881689833,25.5,1.1733565
0.898900433,25.5,1.1905671
0.928819433,25.5,1.2204861
0.931064833,25.5,1.2227315
0.931828733,25.5,1.2234954
0.941030133,25,1.2326968
0.946377333,24.5,1.238044
0.946608833,24.5,1.2382755
0.954189833,24.5,1.2458565
0.954444433,24.5,1.2461111
0.969641233,24.5,1.2613079
0.970023133,24.5,1.2616898
0.972025433,24.5,1.2636921
0.983645833,24.5,1.2753125
0.988414333,24.5,1.280081
0.988564833,24.5,1.2802315
0.995659733,24.5,1.2873264
1.007951433,24.5,1.2996181
1.042824033,24.5,1.3344907
1.046342633,24.5,1.3380093
1.113599533,24.5,1.4052662
1.140844933,24.5,1.4325116
1.144085633,24.5,1.4357523
1.149687533,24.5,1.4413542
1.151944433,24.5,1.4436111
1.163217633,24.5,1.4548843
1.179444433,24,1.4711111
1.302847233,23.5,1.5945139
1.441643533,23.5,1.7333102
1.466284733,23,1.7579514
1.480567133,23,1.7722338
1.493437533,23,1.7851042
1.503148133,23,1.7948148
1.536064833,23,1.8277315
1.537361133,23,1.8290278
1.540972233,23,1.8326389
1.542118033,23,1.8337847
1.546944433,23,1.8386111
1.550046333,23,1.841713
1.550173633,22.5,1.8418403
1.551759233,22.5,1.8434259
1.552766233,22.5,1.8444329
1.555000033,22.5,1.8466667
1.555810233,22.5,1.8474769
1.557638933,22.5,1.8493056
1.559861133,22.5,1.8515278
1.559895833,22.5,1.8515625
1.562789333,22.5,1.854456
1.563761533,22.5,1.8554282
1.565474533,22,1.8571412
1.567060233,22,1.8587269
1.578194433,21.5,1.8698611
1.579791633,21.5,1.8714583
1.585254633,21.5,1.8769213
1.586331033,21,1.8779977
1.588368033,21,1.8800347
1.597268533,20.5,1.8889352
1.605613433,20.5,1.8972801
1.614606433,20.5,1.9062731
1.617673633,20,1.9093403
1.630162033,20,1.9218287
1.649849533,20,1.9415162
1.693865733,20,1.9855324
1.695057833,20,1.9867245
1.737442133,20,2.0291088
1.752615733,20,2.0442824
1.752997733,20,2.0446644
1.769953733,20,2.0616204
1.781365733,20,2.0730324
1.787847233,20,2.0795139
1.791458333,20,2.083125
1.812939833,20,2.1046065
1.842986133,20,2.1346528
1.855648133,20,2.1473148
1.859027733,20,2.1506944
1.863622733,20,2.1552894
1.890439833,19.5,2.1821065
1.903761533,19.5,2.1954282
1.908576433,19.5,2.2002431
1.918321733,19.5,2.2099884
1.923287033,19.5,2.2149537
1.928425933,19.5,2.2200926
1.938703733,19.5,2.2303704
1.948842633,19.5,2.2405093
1.967476833,19.5,2.2591435
1.980150433,19.5,2.2718171
2.015532433,19.5,2.3071991
2.015891233,19.5,2.3075579
2.018263933,19.5,2.3099306
2.020659733,19.5,2.3123264
2.024027733,19.5,2.3156944
2.055532433,19.5,2.3471991
2.071770833,19.5,2.3634375
2.074976833,19.5,2.3666435
2.148993033,19.5,2.4406597
2.152905133,19.5,2.4445718
2.173125033,19,2.4647917
2.193055533,19,2.4847222
2.518599533,18.5,2.8102662
2.524537033,18,2.8162037
2.529849533,18,2.8215162
2.534027733,18,2.8256944
2.536736133,18,2.8284028
2.543611133,18,2.8352778
2.559305533,18,2.8509722
2.571898133,18,2.8635648
2.585092633,18,2.8767593
2.594224533,18,2.8858912
2.596736133,18,2.8884028
2.596863433,18,2.8885301
2.599733833,18,2.8914005
2.602129633,18,2.8937963
2.603668933,18,2.8953356
2.618981433,18,2.9106481
2.651296333,18,2.942963
2.652164333,18,2.943831
2.653634233,18,2.9453009
2.660405133,18,2.9520718
2.660532433,18,2.9521991
2.662777733,18,2.9544444
2.679293933,18,2.9709606
2.679733833,18,2.9714005
2.691273133,18,2.9829398
2.708055533,17.5,2.9997222
2.712233833,17.5,3.0039005
2.712662033,17,3.0043287
2.715578733,17,3.0072454
2.718761533,17,3.0104282
2.743472233,16.5,3.0351389
2.751724533,16,3.0433912
2.777638933,15.5,3.0693056
2.779560233,15.5,3.0712269
2.787858833,15.5,3.0795255
2.800289333,15,3.091956
2.831631933,15,3.1232986
2.833425933,15,3.1250926
2.834710633,15,3.1263773
2.873981433,15,3.1656481
2.950810233,15,3.2424769
2.953715233,15,3.2453819
2.959976833,15,3.2516435
2.972939833,15,3.2646065
2.984050933,15,3.2757176
2.985902733,15,3.2775694
3.510717633,15,3.8023843
3.512488433,15,3.8041551
3.522476833,14.5,3.8141435
3.523055533,14.5,3.8147222
3.523101833,14,3.8147685
3.526099533,14,3.8177662
3.528009233,14,3.8196759
3.529618033,14,3.8212847
3.545497733,14,3.8371644
3.547962933,13.5,3.8396296
3.554629633,13.5,3.8462963
3.556921333,13.5,3.848588
3.558900433,13.5,3.8505671
3.561157433,13.5,3.8528241
3.564467633,13.5,3.8561343
3.567349533,13.5,3.8590162
3.576145833,13.5,3.8678125
3.581122733,13.5,3.8727894
3.585914333,13.5,3.877581
3.588321733,13.5,3.8799884
3.592662033,13.5,3.8843287
3.607129633,13.5,3.8987963
3.612349533,13,3.9040162
3.628553233,13,3.9202199
3.630462933,13,3.9221296
3.639027733,13,3.9306944
3.681006933,13,3.9726736
3.681331033,13,3.9729977
3.695914333,13,3.987581
3.697905133,13,3.9895718
3.770960633,13,4.0626273
3.803252333,13,4.094919
3.848807833,13,4.1404745
3.866851833,13,4.1585185
3.871574033,13,4.1632407
3.884629633,13,4.1762963
3.889143533,13,4.1808102
3.956261533,12.5,4.2479282
3.999155133,12.5,4.2908218
4.072928233,12.5,4.3645949
4.082280133,12.5,4.3739468
4.086597233,12.5,4.3782639
4.108159733,12.5,4.3998264
4.468946733,12.5,4.7606134
4.482962933,12.5,4.7746296
4.492916633,12.5,4.7845833
4.502048633,12.5,4.7937153
4.511712933,12,4.8033796
4.514710633,12,4.8063773
4.516030133,12,4.8076968
4.522500033,12,4.8141667
4.540069433,12,4.8317361
4.546712933,12,4.8383796
4.550891233,12,4.8425579
4.552604133,12,4.8442708
4.554155133,11.5,4.8458218
4.561122733,11,4.8527894
4.566134233,11,4.8578009
4.577094933,11,4.8687616
4.578113433,11,4.8697801
4.591168933,11,4.8828356
4.593622733,11,4.8852894
4.604895833,11,4.8965625
4.607951433,11,4.8996181
4.635902733,11,4.9275694
4.648298633,11,4.9399653
4.655266233,11,4.9469329
4.688854133,11,4.9805208
4.708715233,11,5.0003819
4.754432833,11,5.0460995
4.757997733,10.5,5.0496644
4.760625033,10,5.0522917
4.762870333,10,5.054537
4.764062533,10,5.0557292
4.779537033,10,5.0712037
4.789525433,10,5.0811921
4.853946733,10,5.1456134
4.860474533,10,5.1521412
4.896319433,10,5.1879861
4.897314833,10,5.1889815
4.914606433,10,5.2062731
4.917094933,10,5.2087616
4.929907433,10,5.2215741
4.932118033,10,5.2237847
4.950243033,9.5,5.2419097
4.957754633,9.5,5.2494213
4.985069433,9.5,5.2767361
4.986944433,9.5,5.2786111
4.987418933,9.5,5.2790856
4.988645833,9.5,5.2803125
4.990277733,9.5,5.2819444
4.993576433,9,5.2852431
4.996018533,9,5.2876852
5.002500033,9,5.2941667
5.034641233,9,5.3263079
5.039293933,9,5.3309606
5.068518533,8.5,5.3601852
5.080486133,8.5,5.3721528
5.101435233,8.5,5.3931019
5.108043933,8.5,5.3997106
5.111979133,8.5,5.4036458
5.127280133,8.5,5.4189468
5.137731433,8.5,5.4293981
5.137939833,8,5.4296065
5.154895833,8,5.4465625
5.201319433,8,5.4929861
5.201956033,7.5,5.4936227
5.444039333,7.5,5.735706
5.450115733,7.5,5.7417824
5.483356433,7.5,5.7750231
5.485405133,7.5,5.7770718
5.490497733,7.5,5.7821644
5.511620333,7.5,5.803287
5.516064833,7.5,5.8077315
5.533692133,7.5,5.8253588
5.541018533,7.5,5.8326852
5.544247733,7.5,5.8359144
5.544594933,7.5,5.8362616
5.551377333,7,5.843044
5.562673633,6.5,5.8543403
5.566990733,6.5,5.8586574
5.568935233,6,5.8606019
5.582870333,6,5.874537
5.584502333,5.5,5.876169
5.588310233,5.5,5.8799769
5.592592633,5.5,5.8842593
5.612476833,5.5,5.9041435
5.615601833,5,5.9072685
5.634756933,5,5.9264236
5.666956033,5,5.9586227
5.684988433,5,5.9766551
5.716921333,5,6.008588
5.751747733,5,6.0434144
5.763379633,4.5,6.0550463
5.773182833,4,6.0648495
5.785451433,4,6.0771181
5.800057833,4,6.0917245
5.818206033,4,6.1098727
5.860405133,4,6.1520718
5.894155133,4,6.1858218
5.901678233,4,6.1933449
5.907430533,4,6.1990972
5.914074033,4,6.2057407
5.914780133,4,6.2064468
5.919340233,4,6.2110069
5.922384233,4,6.2140509
5.943645833,4,6.2353125
5.950462933,4,6.2421296
5.986909733,4,6.2785764
6.016122733,4,6.3077894
6.022372733,4,6.3140394
6.051736133,3.5,6.3434028
6.104733833,3,6.3964005
6.112685233,3,6.4043519
6.154768533,3,6.4464352
6.160497733,3,6.4521644
6.171018533,3,6.4626852
6.177777733,3,6.4694444
6.214780133,3,6.5064468
6.472222233,3,6.7638889
6.479791633,2.5,6.7714583
6.485312533,2.5,6.7769792
6.493819433,2.5,6.7854861
6.496875033,2,6.7885417
6.501851833,2,6.7935185
6.507500033,2,6.7991667
6.508784733,2,6.8004514
6.509537033,2,6.8012037
6.509699033,2,6.8013657
6.513240733,2,6.8049074
6.514606433,2,6.8062731
6.518900433,2,6.8105671
6.519884233,2,6.8115509
6.520196733,1.5,6.8118634
6.542962933,1.5,6.8346296
6.549594933,1.5,6.8412616
6.551620333,1.5,6.843287
6.556018533,1.5,6.8476852
6.556273133,1,6.8479398
6.557199033,1,6.8488657
6.558703733,1,6.8503704
6.563090233,1,6.8547569
6.567442133,1,6.8591088
6.569432833,1,6.8610995
6.571736133,1,6.8634028
6.577037033,1,6.8687037
6.581435233,1,6.8731019
6.589988433,1,6.8816551
6.610231433,1,6.9018981
6.662106433,1,6.9537731
6.771851833,1,0.0635185
6.798657433,1,0.0903241
6.849907433,1,0.1415741
6.893576433,0.5,0.1852431
6.909212933,0.5,0.2008796
6.913796333,0,0.205463
6.915231433,0,0.2068981
6.929259233,0,0.2209259
6.943761533,0,0.2354282
6.950555533,0,0.2422222
6.977418933,0,0.2690856
